ticker,earnings_yield,free_cash_flow_yield,sales_yield,book_to_market,ev_to_sales,ev_to_operating_income,ev_to_ebitda,ev_to_free_cash_flow,revenue_growth,net_income_growth,free_cash_flow_growth,revenue_cagr,net_income_cagr,free_cash_flow_cagr,gross_margin,operating_margin,ebitda_margin,net_margin,free_cash_flow_margin,return_on_assets,return_on_equity,return_on_invested_capital,operating_cash_flow_to_net_income,free_cash_flow_to_net_income,debt_to_assets,debt_to_equity,net_debt_to_equity,liabilities_to_assets,cash_to_debt,current_ratio,quick_ratio,interest_coverage,asset_turnover,r_and_d_intensity,sga_intensity,capex_to_revenue,cumulative_return,one_month_return,three_month_return,six_month_return,one_year_return,sharpe_ratio,annualized_volatility,max_drawdown,beta_vs_spy,price_vs_sma_50,price_vs_sma_200,sma_50_vs_sma_200,macd_spread,rsi_score,volume_ratio,value_score,growth_score,quality_score,financial_strength_score,efficiency_score,momentum_score,risk_score,technical_score,overall_score,as_of_date,quality_value_interaction,growth_quality_interaction,momentum_technical_interaction,financial_strength_quality_interaction,value_financial_strength_interaction,growth_momentum_interaction,efficiency_quality_interaction,risk_momentum_interaction,start_date,end_date,forward_return,period_return_rows,forward_excess_return
EXE,0.0811660035230337,,0.1746710508173514,0.3209849414080363,6.169959648543805,13.39936345911765,10.81231997467699,,2.4674157303370787,5.156521739130435,,0.045095422603111,(0.05860616439188382+0j),,,0.4604666234607906,0.5706416072585871,0.4646791963707064,,0.130257062403488,0.2528654558278963,0.1787646244810668,-0.4525801952580195,,0.2069216095921519,0.4016928231352495,0.2421089754893317,0.4848760105368335,0.3972783143107989,0.8594196975888844,,54.65384615384615,0.2803161050049959,,,,1.08800256774908,0.146321735916544,0.4263284979665054,0.4930710378265621,1.1034310905401772,1.8696429058232025,0.3840055476481969,-0.15260894553965,0.5908620299814722,0.2144454937492173,0.4446499709247715,0.1895552154134727,0.0036716162164821,60.0,0.8917609368315276,61.207950771109466,69.04087036392036,95.69753817671564,54.16482921013889,57.17561045074064,96.36567891125802,88.48060389369772,81.37897980204204,77.38435300386458,2022-04-01,58.57450205636779,66.07041327404944,78.42140637729334,51.83440811172549,33.15318199819733,66.53170345243339,54.71565163886774,85.2649346469428,2022-04-01,2022-06-30,-0.04306769320802295,62,0.11803499403102768
HCC,0.0982939121260577,0.0941694997052647,0.2320122254123006,0.3217404733323584,4.657486523088093,10.49094772661882,9.274864383446554,11.474987298770303,,,,0.5290622615208169,,,,0.4439528862841048,0.5021622236763492,0.4236583307253881,0.4058816277371571,0.1372868985333548,0.3055068301106153,0.177753096967108,1.0841886129360807,0.958040001343078,0.3599695761403185,0.8010463148176643,0.2504932382759741,0.5506257634775393,0.6872924403466086,4.791077602365976,4.3638522097721495,,0.324050983013345,,0.0195216554287936,0.0534439102108168,4.206114843338846,-0.0057682918876428,0.4775682139331829,0.4934651365011653,1.2583319644448472,0.878834381187846,0.5534770745612112,-0.6480910256836844,1.0512046014961811,0.1361031879175991,0.5186741318296362,0.3367396095536568,-0.0123897542781582,100.0,0.4407852679768214,67.83546114114584,89.29913639578515,90.96402058469064,49.48580739606889,80.06388071303397,90.22308637113105,55.25302294237207,71.63746746891273,76.74718020314616,2022-04-01,61.70586283615173,81.23008481301298,64.63353414856805,45.01428002626048,33.56892564654259,80.56843695904335,72.82932493270637,49.85098261195721,2022-04-01,2022-06-30,-0.16091726812147955,62,0.00018541911757108398
GPOR,0.3377642748917988,,0.3229578411771497,0.3734807455044356,4.447619167344172,4.405427928998323,4.208352268714689,,3.165568511677002,2.190709995165972,,0.0714155094235609,(0.023895991049022847+0.0977702127575471j),,,1.0095771032975318,1.056855244844453,1.04584633604399,,0.253335436429312,0.9043686427143736,0.4016003696073679,-0.0604270967976842,,0.3288144442107671,1.1738171209172603,1.1684497525412678,0.7198759173372591,0.0045725763241535,0.4308378272812035,,42.944925892929454,0.2422300750104232,,,,0.2405757887037265,0.2524217731046008,0.2564209570139801,0.1033894623750932,,0.833022951270125,0.3828422268251405,-0.3016162055077177,0.6818009873410601,0.2573426013893838,0.2397107413228427,-0.0140231151374792,0.0113624195505116,10.0,1.037301641821804,64.64987955002063,59.927588247991935,97.08962433090176,35.49072685087554,49.31012529570323,83.12355104072384,86.89551785730495,70.81670249759722,72.05053752997492,2022-04-01,62.76832518549551,58.183470300545,58.86535784594778,34.45781337182154,22.944712160517867,49.8139394047944,47.875015406695226,72.23064013821818,2022-04-01,2022-06-30,-0.11478509901606959,62,0.04631758822298104
AMR,0.158181446440314,0.0774314600916749,0.5088798113245843,0.3360362667413456,,,,,0.2764560192712852,2.0919124711760184,1.6131547298137934,0.1127254203755852,,,,0.3330202108867603,,0.3108424482955554,0.1521606052520052,0.1385817607896164,0.4707273056395122,,0.5785157994911535,0.4895103808580473,,,,0.7056007605053959,,2.5275860088061664,2.090379787043514,16.854864336348083,0.4458263713643449,,0.022952921758428,0.0276666622394855,9.025278289290002,0.176306215471734,1.2086811039079732,1.424307560772912,9.130727581332636,3.071017672401696,0.7440884696945576,-0.3222103747215999,0.8759015925267488,0.3566700676438117,1.268561046157905,0.6721538274208516,-0.0051074214171239,60.0,0.4980431219068384,73.82598235630563,53.20439327205864,83.28330012217309,28.223964319649763,94.43919865445108,97.5766882265593,64.83901851674814,74.29134894914718,71.78184438430813,2022-04-01,61.48471445394457,44.310374526949865,72.49103794341458,23.50584891070896,20.836618918874628,51.91508494590915,78.65208124836174,63.26776694724838,2022-04-01,2022-06-30,-0.01892911973253264,62,0.142173567506518
EQT,0.0850805161750214,0.0331088119020275,0.1813563330456571,0.4744812321830176,6.912826045595104,10.801541943533106,9.04745284659946,37.86559258971366,3.621241393246216,1.909710385800435,4.253787667799253,0.0582593075684796,,(0.12179805590658521+0j),,0.6399851133970572,0.7640632300386437,0.4691345195736952,0.1825622041756452,0.0833665318547526,0.1793127112395544,0.1582244660839308,0.1818858589722166,0.3891468151641035,0.253848452205329,0.5460015331836915,0.534657148491359,0.5350774003780558,0.0207772029982851,0.4501356351981065,,32.13520511579856,0.1777028301616095,,0.0136320758893807,0.0972332691094654,1.293551250945772,0.4498990324649208,0.661578375260867,0.7574701197191831,1.002156618373653,0.3370532941743134,0.4387675791279336,-0.9150561343840046,1.1046383234672297,0.4394186641567472,0.6778153695530869,0.1656201293846633,0.017605213246761,10.0,0.7723161597014991,62.50312257963761,70.96059484236892,89.4510243870103,48.15115542224142,62.3094355564011,93.51343878233918,45.01257468573923,81.56511231025996,71.57203484116692,2022-04-01,55.909683421354586,63.474978997615,76.27434136800115,43.07170177937641,30.095975697075374,66.35769241750239,55.73642839496481,42.09280647310346,2022-04-01,2022-06-30,0.0031402576021328787,62,0.1642429448411835
RGNX,0.1623568527207002,0.2792104065550913,0.2201337008375901,0.4220384725709409,,,,,11.954700549182723,6.034209399880147,3.857972112161788,0.1617266927306371,,,,0.7866350603905633,,0.7375374697420075,1.2683673853331827,0.2639572171389994,0.3846968067429197,,1.4909411848732923,1.7197328100182638,,,,0.3138564903259168,,3.976531363051076,,48.24553846153846,0.3578899079274336,0.1203496757848264,,0.1687423963075842,0.150410440118337,0.2343199371099151,0.0712537603056611,-0.1303376404941302,0.0037248495052808,0.3667050672424065,0.672932021290147,-0.7615635182492255,1.439837994666501,0.2636264210856136,0.0632824199072517,-0.1585468599226038,0.0142524360941402,10.0,1.3995473234494489,76.59144469757238,84.57350836752815,97.21932193207113,60.70715855400696,50.167880230431024,57.93586929185283,35.64622519383975,64.42461666542188,71.50352319441316,2022-04-01,74.46168319295711,82.22179136907431,37.32496170305605,59.01908791043288,46.49648977135982,48.998397263345325,48.7728729877186,20.65195043578251,2022-04-01,2022-06-30,-0.25579988596134984,62,-0.0946971987222992
CTVA,0.0042680364622151,0.171392533404047,0.093386785232996,,9.426750464553152,,,5.136360981390825,0.467313369886124,4.3,6.18262987012987,0.0603312391239856,(0.0010229934295546972+0j),,,,,0.0457027881575165,1.8352974992814024,0.0037549593803136,,,38.61006289308176,40.15723270440252,2.361609673153221e-05,,,,4459.0,1.6264908976773385,1.084536513915045,,0.0821604005290005,0.0908306984765737,0.2316757688991089,0.0707099741304972,1.0932951314702102,0.1314054764195187,0.236206795102609,0.3475718173738655,0.2507103226013683,0.8543768805275024,0.3938392279161627,-0.3428064060797905,1.048189825500481,0.1201812502151802,0.2580604229956806,0.1230864851148103,0.0001912960505727,100.0,0.4844577526891899,63.123086257429,67.61730502754564,81.2037348107317,69.88273471422758,33.3794890071686,80.68133970781456,79.70408978436113,71.35281288831392,71.30545846856917,2022-04-01,51.25830356883207,54.90777706073172,57.568405357501845,56.74739057582851,44.11213891271216,54.55454757054327,27.10539173455853,64.30632743994192,2022-04-01,2022-06-30,-0.055640636733942594,62,0.10546205050510804
MATX,0.1191685559602712,,0.3827289237051043,,2.9263907072761373,7.797554208451873,,,0.1823441582680104,0.3930084745762712,,0.0693659163731557,(0.12097288986085264+0j),,,0.3752959747434886,,0.3113654301499605,,0.1068208280306517,,,0.0991128010139417,,0.1840459234789201,,,,0.4154774165072826,1.1503919007184846,,101.17021276595744,0.3430722157537028,,0.0511444356748224,,7.369203145785919,0.0824354429802538,0.2877062278252547,0.4081798957523774,0.7333372905886093,0.5394720522200847,0.3903816281052567,-0.7056783092617026,1.0880108396141144,0.1085406387775067,0.355342729704825,0.2226369357098991,-0.0057062333386831,100.0,1.3875533889398242,77.94655270901191,39.816632096317534,88.86783937425263,42.7961548312332,79.18157993000106,85.1579953470003,59.68954788686948,78.05564614153583,70.21950410853769,2022-04-01,69.26941725921186,35.38418065559258,66.47062350928009,38.03201813377678,33.358127382957534,33.907045707914314,70.3669592661888,50.830422412145815,2022-04-01,2022-06-30,-0.3937545058091947,62,-0.23265181857014405
HPK,0.0133623554129447,,0.0356082862071085,,28.72248341601685,53.53250644605581,38.08908129138064,,1.0783830468486686,3.601093575245433,,2.0046435470125163,,,,0.5365428470075508,0.7540870622814575,0.3752597172249531,,0.0452097782553482,,,0.0168804861580013,,0.1195772687310735,,,,0.3560640872468829,0.8442135922330097,0.8121359223300971,39.77310293012772,0.120475969522321,,0.0389499822632139,,1.377431292280113,0.0581393347560463,0.5561397566275033,1.5368260509419498,2.464256329988807,0.6649960675467115,0.6451419923545867,-0.6865284523563931,0.0618600320225175,0.1245206907655016,0.6058438712913339,0.4280251884010941,0.0009725840763925,60.0,0.7434606815743873,39.79665677517628,96.4544184458186,90.12725470631418,39.28582030976907,49.21462355929918,90.27012872284168,60.91375160804817,73.56587375931277,70.15244642930946,2022-04-01,35.86763421636076,86.93171938815702,66.40800893861484,35.40723133405047,15.634443069991294,87.06952768990881,44.35578912804327,54.98692198649714,2022-04-01,2022-06-30,0.15501647932810436,62,0.316119166567155
VST,0.0984556057685591,0.4735633269198463,0.4494240737148828,1.1245094807615594,,,,,0.1079906385824139,102.71428571428572,3.7217459080280593,0.0832181385079493,,(-0.0514401349956245+0.3082057831959483j),,0.2676523838261919,0.3877489438744719,0.2190706095353047,1.0537115268557635,0.0244584442273355,0.0875542691751085,,4.128099173553719,4.809917355371901,,,,0.7206481824613415,,1.3491357179531065,1.2447372924867364,9.239583333333334,0.1116463969275342,,0.0808690404345202,0.1493663246831623,0.9288958873251758,0.0745759906594092,0.0372933729901827,0.4119283708629626,0.3681109789289425,0.5239737680378204,0.3440962974253728,-0.5331682693298438,0.8739121721697182,0.0651880029213747,0.1798525855759405,0.1076472719746071,0.0046084278839471,100.0,1.1559584421773623,86.88648592290288,60.11555075223252,82.93930765959746,21.423995535337895,51.03389912106069,71.13121881541537,75.73632690033097,71.80126465849553,69.50996458419196,2022-04-01,72.06304987420926,49.85942158965558,51.07311467646995,17.768913570032325,18.614556864934706,42.7609239476626,42.32716260270513,53.87217241023271,2022-04-01,2022-06-30,-0.0093837256078666,62,0.15171896163118403
